Kod;Nazwa;Bezrobocie;Wynagrodzenia;Ludnosckm2;Cenam2;Firmy1000os
2601000;Powiat buski;4,4;5 412,76;70,7;5 405;4,8
2602000;Powiat jędrzejowski;6,7;5 829,63;65,1;4 287;5,3
2603000;Powiat kazimierski;10;5 097,28;75,7;3 827;3,4
2604000;Powiat kielecki;7;5 289,72;94,3;4 805;3,9
2605000;Powiat konecki;10,5;5 493,64;65,4;4 228;6,2
2606000;Powiat opatowski;15,8;5 106,84;53,7;3 256;4
2607000;Powiat ostrowiecki;9,6;5 388,69;164,3;4 037;6,1
2608000;Powiat pińczowski;7,8;5 811,36;60,4;3 870;4,2
2609000;Powiat sandomierski;8,2;5 954,75;107,4;5 120;6,8
2610000;Powiat skarżyski;14,7;5 704,16;174,7;4 307;6,1
2611000;Powiat starachowicki;9,6;5 730,06;161,5;4 341;5,6
2612000;Powiat staszowski;6,5;5 856,73;74,6;3 786;5,9
2613000;Powiat włoszczowski;7,1;5 982,40;47,8;4 579;4,6
2661000;Powiat m. Kielce;4,6;6 185,40;1 677,00;6 769;12,2
2801000;Powiat bartoszycki;18,2;5 411,23;40,7;2 660;4,6
2802000;Powiat braniewski;17,1;5 368,32;31,4;3 284;4,5
2803000;Powiat działdowski;12,7;5 273,63;64,9;4 016;6
2804000;Powiat elbląski;13;5 206,08;38,7;3 483;5,1
2805000;Powiat ełcki;11,1;5 238,03;79,6;5 354;5
2806000;Powiat giżycki;8,8;5 498,08;48,2;5 888;6,3
2807000;Powiat iławski;4,3;5 080,82;65,1;4 768;5,8
2808000;Powiat kętrzyński;18;5 244,28;47,6;2 949;5,2
2809000;Powiat lidzbarski;10,7;5 155,53;41,7;3 556;4,9
2810000;Powiat mrągowski;9,3;5 298,87;45;6 357;5,8
2811000;Powiat nidzicki;6,4;5 130,03;31,9;3 982;6,5
2812000;Powiat nowomiejski;11;4 668,60;60,8;3 699;4,8
2813000;Powiat olecki;10,6;5 397,85;36,9;3 941;5,2
2814000;Powiat olsztyński;6,7;5 865,11;45,6;5 612;5,4
2815000;Powiat ostródzki;8,8;5 403,55;56,5;4 623;5,8
2816000;Powiat piski;12,3;5 580,91;29,6;3 824;4,1
2817000;Powiat szczycieński;8,3;5 503,25;34,6;4 583;4,5
2818000;Powiat gołdapski;9,7;5 136,51;32,6;3 591;5,4
2819000;Powiat węgorzewski;12,8;5 338,94;30,4;4 569;4,2
2861000;Powiat m. Elbląg;6,7;5 900,22;1 422,80;5 580;7,1
2862000;Powiat m. Olsztyn;2,1;6 506,02;1 904,60;7 090;9,3
3001000;Powiat chodzieski;7;5 542,99;66,4;4 079;7
3002000;Powiat czarnkowsko-trzcianecki;4,5;5 808,58;46,5;4 270;6,2
3003000;Powiat gnieźnieński;4,4;5 631,02;113;4 535;6,5
3004000;Powiat gostyński;4,8;5 738,30;91,2;4 125;7,7
3005000;Powiat grodziski;4,4;5 493,60;80,2;4 196;7,8
3006000;Powiat jarociński;4,2;5 391,40;119;4 358;5,6
3007000;Powiat kaliski;3,3;5 201,09;71,1;3 764;4,5
3008000;Powiat kępiński;1,8;4 687,66;92,2;5 092;10,8
3009000;Powiat kolski;3,4;5 976,51;81,2;3 988;4,6
3010000;Powiat koniński;8,6;4 988,03;81,7;3 747;4,1
3011000;Powiat kościański;2,8;5 931,56;107,1;3 871;6,9
3012000;Powiat krotoszyński;2,7;4 772,92;105,6;4 051;6,2
3013000;Powiat leszczyński;2,3;6 002,93;73,9;4 110;6,5
3014000;Powiat międzychodzki;4,8;5 620,61;48,6;3 742;6,9
3015000;Powiat nowotomyski;2,2;5 753,37;74,3;4 253;7,2
3016000;Powiat obornicki;3,2;5 821,90;83;4 747;7,2
3017000;Powiat ostrowski;3;5 499,39;137;4 442;5,7
3018000;Powiat ostrzeszowski;3,6;5 479,65;70,7;4 967;5,8
3019000;Powiat pilski;4,3;6 004,37;103,7;5 119;6,7
3020000;Powiat pleszewski;3,7;5 559,50;86,3;4 166;5,7
3021000;Powiat poznański;1;5 737,99;233;5 952;8,6
3022000;Powiat rawicki;3,6;5 294,49;106,4;4 489;7,7
3023000;Powiat słupecki;7,1;5 450,67;68,7;4 493;6
3024000;Powiat szamotulski;3,2;6 309,72;81,9;4 500;7,2
3025000;Powiat średzki;5,8;6 078,30;96,1;4 759;6,3
3026000;Powiat śremski;2,4;5 376,46;106,5;4 457;6,8
3027000;Powiat turecki;4;5 049,40;87,5;4 520;6,1
3028000;Powiat wągrowiecki;5,4;5 319,73;66,4;4 323;5,3
3029000;Powiat wolsztyński;1,8;5 635,22;83,5;4 769;8,6
3030000;Powiat wrzesiński;4;5 758,50;111,1;4 942;6,5
3031000;Powiat złotowski;4,7;4 964,93;40,7;3 843;6,1
3061000;Powiat m. Kalisz;3,4;5 781,36;1 354,50;5 326;9,4
3062000;Powiat m. Konin;5,9;5 913,95;827,6;5 092;9,6
3063000;Powiat m. Leszno;2,8;5 831,34;1 903,40;5 559;11,1
3064000;Powiat m. Poznań;1;7 362,74;2 066,80;8 369;13,5
3201000;Powiat białogardzki;16,3;5 746,07;53;3 226;5,6
3202000;Powiat choszczeński;15,4;5 575,63;33,8;3 052;5
3203000;Powiat drawski;11,7;5 323,36;30,6;2 966;5,6
3204000;Powiat goleniowski;3,4;5 991,11;50,4;4 535;5,6
3205000;Powiat gryficki;7,4;5 364,42;55,8;11 304;5,4
3206000;Powiat gryfiński;6,9;5 878,75;41,5;4 169;5,1
3207000;Powiat kamieński;14,1;5 326,89;44,1;10 777;6,3
3208000;Powiat kołobrzeski;1,8;5 585,13;105,9;8 771;7,1
3209000;Powiat koszaliński;12,1;5 601,77;40,1;7 714;4,6
3210000;Powiat myśliborski;6,2;5 671,63;53;4 145;6,3
3211000;Powiat policki;3,5;6 622,81;127,8;6 380;5,9
3212000;Powiat pyrzycki;11,1;5 694,42;50,7;2 906;4,8
3213000;Powiat sławieński;13,5;5 260,40;51,2;7 843;4,7
3214000;Powiat stargardzki;7,1;5 605,44;78,4;4 825;4,7
3215000;Powiat szczecinecki;15,1;5 799,80;41,5;4 115;5,8
3216000;Powiat świdwiński;12,7;5 239,03;39,9;2 687;5,7
3217000;Powiat wałecki;8,5;5 886,05;35,6;3 807;5,9
3218000;Powiat łobeski;15,2;5 630,58;31,7;2 390;4,5
3261000;Powiat m. Koszalin;5,1;6 054,77;1 060,00;7 172;8,8
3262000;Powiat m. Szczecin;3,1;6 943,84;1 302,50;11 219;9,1
3263000;Powiat m. Świnoujście;4;6 061,29;194,8;11 219;6,5
